image_file,time,tag_id,tag_tx,tag_ty,tag_tz,tag_rx,tag_ry,tag_rz,gripper_tx,gripper_ty,gripper_tz,gripper_rx,gripper_ry,gripper_rz,E_3D,angleSolide,Erx,Ery,Erz,distance_from_camera,error_3d,error_angular,mean_3d_error,mean_angular_error
image_0129.jpg,205852000000,11,-0.0011768288168794,-0.0011666525419973,2.014986185437218,-0.0023354451150421,2.612365526307711,-2.3474340314048865,0.0,0.0,2.0,0.0,-0.5235987901687622,0.7853981852531433,0.002038327302646291,-179.88289347981146,-179.85359805790333,0.3097503707556026,90.56956602125649,2.0,0.015077524935368885,3.13954875923695,0.01455696831402424,2.9201103276968894
image_0130.jpg,206166000000,11,-0.0011768288168794,-0.0011666525419973,2.014986185437218,-0.0023354451150421,2.612365526307711,-2.3474340314048865,0.0,0.0,2.0,1.0471975803375244,1.0471975803375244,1.0471975803375244,0.002038327302646291,-132.46877824167015,-36.869556939045474,73.86656162004725,-146.07295678995968,2.0,0.015077524935368885,2.312016336411369,0.014564855535559765,2.910896782374382
image_0131.jpg,206282000000,11,-0.0011768288168794,-0.0011666525419973,2.014986185437218,-0.0023354451150421,2.612365526307711,-2.3474340314048865,0.0,0.0,2.0,1.0471975803375244,1.0471975803375244,1.0471975803375244,0.002038327302646291,-132.46877824167015,-36.869556939045474,73.86656162004725,-146.07295678995968,2.0,0.015077524935368885,2.312016336411369,0.014572507317646468,2.9019582682555307
image_0132.jpg,206425000000,11,-0.0011768288168794,-0.0011666525419973,2.014986185437218,-0.0023354451150421,2.612365526307711,-2.3474340314048865,0.0,0.0,2.0,1.0471975803375244,1.0471975803375244,1.0471975803375244,0.002038327302646291,-132.46877824167015,-36.869556939045474,73.86656162004725,-146.07295678995968,2.0,0.015077524935368885,2.312016336411369,0.014579934047318856,2.8932826516107637
image_0133.jpg,206579000000,11,-0.0011768288168794,-0.0011666525419973,2.014986185437218,-0.0023354451150421,2.612365526307711,-2.3474340314048865,0.0,0.0,2.0,1.0471975803375244,1.0471975803375244,1.0471975803375244,0.002038327302646291,-132.46877824167015,-36.869556939045474,73.86656162004725,-146.07295678995968,2.0,0.015077524935368885,2.312016336411369,0.014587145509464508,2.88485850211512
image_0144.jpg,208967000000,11,-0.0066995039090007,-0.0018501215475167,1.999825074549928,1.0484626737211131,-2.0869190471408845,-2.0953958965721027,0.0,0.0,2.0,1.0471975803375244,1.0471975803375244,1.0471975803375244,0.011603881155895513,-179.96420700107913,179.64690955108242,-0.2451603215173051,120.00632470814094,2.0,0.006952474471753503,3.1409679479094623,0.01447807878035435,2.888517208483611
image_0145.jpg,209241000000,11,-0.0066995039090007,-0.0018501215475167,1.999825074549928,1.0484626737211131,-2.0869190471408845,-2.0953958965721027,0.0,0.0,2.0,1.0471975803375244,1.0471975803375244,1.0471975803375244,0.011603881155895513,-179.96420700107913,179.64690955108242,-0.2451603215173051,120.00632470814094,2.0,0.006952474471753503,3.1409679479094623,0.014372084353472649,2.8920728527008763
image_0146.jpg,209463000000,11,-0.0066995039090007,-0.0018501215475167,1.999825074549928,1.0484626737211131,-2.0869190471408845,-2.0953958965721027,0.0,0.0,2.0,1.0471975803375244,1.0471975803375244,1.0471975803375244,0.011603881155895513,-179.96420700107913,179.64690955108242,-0.2451603215173051,120.00632470814094,2.0,0.006952474471753503,3.1409679479094623,0.01426903421622655,2.895529729023218
image_0147.jpg,209654000000,11,-0.0066995039090007,-0.0018501215475167,1.999825074549928,1.0484626737211131,-2.0869190471408845,-2.0953958965721027,0.0,0.0,2.0,1.0471975803375244,1.0471975803375244,1.0471975803375244,0.011603881155895513,-179.96420700107913,179.64690955108242,-0.2451603215173051,120.00632470814094,2.0,0.006952474471753503,3.1409679479094623,0.01416880737041185,2.898891896405221
image_0148.jpg,209885000000,11,-0.0066995039090007,-0.0018501215475167,1.999825074549928,1.0484626737211131,-2.0869190471408845,-2.0953958965721027,0.0,0.0,2.0,1.0471975803375244,1.0471975803375244,1.0471975803375244,0.011603881155895513,-179.96420700107913,179.64690955108242,-0.2451603215173051,120.00632470814094,2.0,0.006952474471753503,3.1409679479094623,0.014071289358267819,2.9021631943985216
image_0149.jpg,210060000000,11,-0.0066995039090007,-0.0018501215475167,1.999825074549928,1.0484626737211131,-2.0869190471408845,-2.0953958965721027,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.011603881155895513,60.70593446022025,-45.077807353842445,-1.933686791920129,42.53955672823749,2.0,0.006952474471753503,1.05951843183073,0.013976371826447629,2.8775945975642845
image_0150.jpg,210157000000,11,-0.0066995039090007,-0.0018501215475167,1.999825074549928,1.0484626737211131,-2.0869190471408845,-2.0953958965721027,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.011603881155895513,60.70593446022025,-45.077807353842445,-1.933686791920129,42.53955672823749,2.0,0.006952474471753503,1.05951843183073,0.01388395212441218,2.8536725427520007
image_0151.jpg,210361000000,11,-0.0066995039090007,-0.0018501215475167,1.999825074549928,1.0484626737211131,-2.0869190471408845,-2.0953958965721027,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.011603881155895513,60.70593446022025,-45.077807353842445,-1.933686791920129,42.53955672823749,2.0,0.006952474471753503,1.05951843183073,0.013793932934117912,2.8303718400127638
image_0152.jpg,210760000000,11,-0.0066995039090007,-0.0018501215475167,1.999825074549928,1.0484626737211131,-2.0869190471408845,-2.0953958965721027,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.011603881155895513,60.70593446022025,-45.077807353842445,-1.933686791920129,42.53955672823749,2.0,0.006952474471753503,1.05951843183073,0.013706221928190163,2.807668591189917
image_0155.jpg,211226000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.013790236519332375,2.811873603870614
image_0156.jpg,211614000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.013872150745696036,2.815973491234293
image_0157.jpg,211882000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.013952042398569231,2.819972146811214
image_0158.jpg,212305000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.014029985474543085,2.8238732742033332
image_0159.jpg,212546000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.014106050404107926,2.8276803985257626
image_0160.jpg,212939000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.014180304263921226,2.8313968770309907
image_0161.jpg,213165000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.014252810974091859,2.835025908983155
image_0162.jpg,213293000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.014323631481700383,2.8385705448434084
image_0163.jpg,213506000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.014392823931662737,2.842033694821817
image_0164.jpg,213708000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.014460443825944126,2.845418136846171
image_0165.jpg,213915000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,-0.7853981852531433,-0.7853981852531433,-0.7853981852531433,0.004693635543062448,179.90098941945365,-179.9625327455497,0.10241647537458778,-90.24473390626311,2.0,0.02034337462842505,3.1398645929649485,0.014526544172039418,2.8487265239935726
image_0166.jpg,214121000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.004693635543062448,-158.95163384558117,50.82130826481306,72.11372846972385,-114.4944905005069,2.0,0.02034337462842505,2.7742293620298475,0.014591175621554812,2.8478987777495313
image_0167.jpg,214325000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.004693635543062448,-158.95163384558117,50.82130826481306,72.11372846972385,-114.4944905005069,2.0,0.02034337462842505,2.7742293620298475,0.01465438659965229,2.8470892237306336
image_0168.jpg,214429000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.004693635543062448,-158.95163384558117,50.82130826481306,72.11372846972385,-114.4944905005069,2.0,0.02034337462842505,2.7742293620298475,0.014716223426051993,2.8462972687121466
image_0169.jpg,214532000000,11,-0.0027098717442651,-0.0079878035412282,2.01851227919487,-0.7829547974720206,2.355394399015802,2.353650942834361,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.004693635543062448,-158.95163384558117,50.82130826481306,72.11372846972385,-114.4944905005069,2.0,0.02034337462842505,2.7742293620298475,0.014776730428228049,2.8455223449843805
image_0185.jpg,217037000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.009083853069518649,179.7451073796134,-179.6229636061966,0.1413153407707481,60.358013417257624,2.0,0.0057568510971388424,3.137143938125011,0.014680774265131355,2.848624702358217
image_0186.jpg,217271000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.009083853069518649,179.7451073796134,-179.6229636061966,0.1413153407707481,60.358013417257624,2.0,0.0057568510971388424,3.137143938125011,0.014586838231784064,2.851661746945236
image_0187.jpg,217423000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.009083853069518649,179.7451073796134,-179.6229636061966,0.1413153407707481,60.358013417257624,2.0,0.0057568510971388424,3.137143938125011,0.014494859199131509,2.854635519770025
image_0188.jpg,217573000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.009083853069518649,179.7451073796134,-179.6229636061966,0.1413153407707481,60.358013417257624,2.0,0.0057568510971388424,3.137143938125011,0.014404776641379007,2.8575479776912105
image_0189.jpg,217711000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.009083853069518649,179.7451073796134,-179.6229636061966,0.1413153407707481,60.358013417257624,2.0,0.0057568510971388424,3.137143938125011,0.014316532503172476,2.860400997695637
image_0190.jpg,217816000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.009083853069518649,179.7451073796134,-179.6229636061966,0.1413153407707481,60.358013417257624,2.0,0.0057568510971388424,3.137143938125011,0.014230071074828701,2.863196380932297
image_0191.jpg,217941000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,0.5235987901687622,0.5235987901687622,0.5235987901687622,0.009083853069518649,179.7451073796134,-179.6229636061966,0.1413153407707481,60.358013417257624,2.0,0.0057568510971388424,3.137143938125011,0.014145338875051802,2.8659358565042243
image_0192.jpg,218127000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.009083853069518649,-104.81557487542062,-128.2350090870708,-66.80294775297574,92.87684299744357,2.0,0.0057568510971388424,1.829376888946735,0.014062284540617021,2.8556728964293976
image_0193.jpg,218387000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.009083853069518649,-104.81557487542062,-128.2350090870708,-66.80294775297574,92.87684299744357,2.0,0.0057568510971388424,1.829376888946735,0.013980858722543706,2.8456111708658423
image_0194.jpg,218462000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.009083853069518649,-104.81557487542062,-128.2350090870708,-66.80294775297574,92.87684299744357,2.0,0.0057568510971388424,1.829376888946735,0.013901013988316474,2.8357448186142005
image_0195.jpg,218566000000,11,-0.0052445650149656,-0.002199757913649,2.000892713548551,0.5287392408376057,-2.623425837001398,-2.614311633546272,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.009083853069518649,-104.81557487542062,-128.2350090870708,-66.80294775297574,92.87684299744357,2.0,0.0057568510971388424,1.829376888946735,0.013822704729747459,2.8260682039058596
image_0207.jpg,220457000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.00047640981116380226,-179.875768124054,179.99266076352305,-0.1824321039526382,90.36136329156467,2.0,0.025661291413313532,3.1394243983186065,0.013935453174352849,2.829052548614552
image_0208.jpg,220642000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.00047640981116380226,-179.875768124054,179.99266076352305,-0.1824321039526382,90.36136329156467,2.0,0.025661291413313532,3.1394243983186065,0.014046074289814744,2.831980584932515
image_0209.jpg,220899000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.00047640981116380226,-179.875768124054,179.99266076352305,-0.1824321039526382,90.36136329156467,2.0,0.025661291413313532,3.1394243983186065,0.014154627720875479,2.834853891599675
image_0210.jpg,220996000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.00047640981116380226,-179.875768124054,179.99266076352305,-0.1824321039526382,90.36136329156467,2.0,0.025661291413313532,3.1394243983186065,0.01426117090321287,2.837673988884109
image_0211.jpg,221342000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.00047640981116380226,-179.875768124054,179.99266076352305,-0.1824321039526382,90.36136329156467,2.0,0.025661291413313532,3.1394243983186065,0.014365759164773425,2.840442341264242
image_0212.jpg,221601000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.00047640981116380226,-179.875768124054,179.99266076352305,-0.1824321039526382,90.36136329156467,2.0,0.025661291413313532,3.1394243983186065,0.014468445821578335,2.8431603599647364
image_0213.jpg,221808000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,-1.0471975803375244,0.5235987901687622,0.7853981852531433,0.00047640981116380226,-179.875768124054,179.99266076352305,-0.1824321039526382,90.36136329156467,2.0,0.025661291413313532,3.1394243983186065,0.014569282268350723,2.8458294053553117
image_0214.jpg,222161000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,0.7853981852531433,-0.5235987901687622,0.7853981852531433,0.00047640981116380226,75.28871738189332,61.62073379431863,21.227598628836837,55.199901232561714,2.0,0.025661291413313532,1.3140360079175237,0.014668318064287892,2.8321526785924744
image_0215.jpg,222267000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,0.7853981852531433,-0.5235987901687622,0.7853981852531433,0.00047640981116380226,75.28871738189332,61.62073379431863,21.227598628836837,55.199901232561714,2.0,0.025661291413313532,1.3140360079175237,0.01476560101427927,2.818718017790041
image_0216.jpg,222354000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,0.7853981852531433,-0.5235987901687622,0.7853981852531433,0.00047640981116380226,75.28871738189332,61.62073379431863,21.227598628836837,55.199901232561714,2.0,0.025661291413313532,1.3140360079175237,0.014861177245849745,2.8055190527911598
image_0217.jpg,222430000000,11,0.00027505533272,-0.0071776758328381,2.024635486421048,-1.0446990278513333,-2.6156531824436096,-2.351139545900463,0.0,0.0,2.0,0.7853981852531433,-0.5235987901687622,0.7853981852531433,0.00047640981116380226,75.28871738189332,61.62073379431863,21.227598628836837,55.199901232561714,2.0,0.025661291413313532,1.3140360079175237,0.014955091282088561,2.79254963500965
image_0234.jpg,224991000000,11,-0.0034672661259637,0.0009035662923531,2.0030645671474754,0.783898958816823,2.6018345180069167,-2.3563164563750485,0.0,0.0,2.0,0.7853981852531433,-0.5235987901687622,0.7853981852531433,0.006005481093531639,-179.9260149007187,-179.39737324712834,0.7067972220148798,90.04028091841668,2.0,0.004714863543552185,3.1403013700099205,0.014866813456756351,2.795547494794135
image_0235.jpg,225277000000,11,-0.0034672661259637,0.0009035662923531,2.0030645671474754,0.783898958816823,2.6018345180069167,-2.3563164563750485,0.0,0.0,2.0,0.7853981852531433,-0.5235987901687622,0.7853981852531433,0.006005481093531639,-179.9260149007187,-179.39737324712834,0.7067972220148798,90.04028091841668,2.0,0.004714863543552185,3.1403013700099205,0.014780044654079392,2.798494109112218
image_0236.jpg,225475000000,11,-0.0034672661259637,0.0009035662923531,2.0030645671474754,0.783898958816823,2.6018345180069167,-2.3563164563750485,0.0,0.0,2.0,0.7853981852531433,-0.5235987901687622,0.7853981852531433,0.006005481093531639,-179.9260149007187,-179.39737324712834,0.7067972220148798,90.04028091841668,2.0,0.004714863543552185,3.1403013700099205,0.014694746509074924,2.801390780814741
image_0237.jpg,225650000000,11,-0.0034672661259637,0.0009035662923531,2.0030645671474754,0.783898958816823,2.6018345180069167,-2.3563164563750485,0.0,0.0,2.0,0.7853981852531433,-0.5235987901687622,0.7853981852531433,0.006005481093531639,-179.9260149007187,-179.39737324712834,0.7067972220148798,90.04028091841668,2.0,0.004714863543552185,3.1403013700099205,0.014610881946339438,2.8042387689592383
image_0238.jpg,225912000000,11,-0.0034672661259637,0.0009035662923531,2.0030645671474754,0.783898958816823,2.6018345180069167,-2.3563164563750485,0.0,0.0,2.0,-0.5235987901687622,0.5235987901687622,1.0471975803375244,0.006005481093531639,98.08588574570093,-85.94031773830983,-26.03679775318792,76.29208406631807,2.0,0.004714863543552185,1.711921655997456,0.014528415126316212,2.7951361263512235
image_0239.jpg,226119000000,11,-0.0034672661259637,0.0009035662923531,2.0030645671474754,0.783898958816823,2.6018345180069167,-2.3563164563750485,0.0,0.0,2.0,-0.5235987901687622,0.5235987901687622,1.0471975803375244,0.006005481093531639,98.08588574570093,-85.94031773830983,-26.03679775318792,76.29208406631807,2.0,0.004714863543552185,1.711921655997456,0.014447311394227254,2.7861839406458206
image_0240.jpg,226119000000,11,-0.0034672661259637,0.0009035662923531,2.0030645671474754,0.783898958816823,2.6018345180069167,-2.3563164563750485,0.0,0.0,2.0,-0.5235987901687622,0.5235987901687622,1.0471975803375244,0.006005481093531639,98.08588574570093,-85.94031773830983,-26.03679775318792,76.29208406631807,2.0,0.004714863543552185,1.711921655997456,0.014367537231516802,2.777378512083129
image_0241.jpg,226119000000,11,-0.0034672661259637,0.0009035662923531,2.0030645671474754,0.783898958816823,2.6018345180069167,-2.3563164563750485,0.0,0.0,2.0,-0.5235987901687622,0.5235987901687622,1.0471975803375244,0.006005481093531639,98.08588574570093,-85.94031773830983,-26.03679775318792,76.29208406631807,2.0,0.004714863543552185,1.711921655997456,0.01428906020966343,2.7687162612206437
image_0242.jpg,226119000000,11,-0.0034672661259637,0.0009035662923531,2.0030645671474754,0.783898958816823,2.6018345180069167,-2.3563164563750485,0.0,0.0,2.0,-0.5235987901687622,0.5235987901687622,1.0471975803375244,0.006005481093531639,98.08588574570093,-85.94031773830983,-26.03679775318792,76.29208406631807,2.0,0.004714863543552185,1.711921655997456,0.01421184894622705,2.760193724081747
image_0250.jpg,227299000000,11,-0.0012424039341137,-0.0062078887560961,2.008762636682249,-0.5265781452209857,-2.6198628331300857,-2.087064271767451,0.0,0.0,2.0,-0.5235987901687622,0.5235987901687622,1.0471975803375244,0.0021519067374083842,-179.8516943999778,-179.98135461231058,0.18165328238627082,120.33484274646426,2.0,0.010810423302011016,3.13900423257026,0.014184637541073322,2.7632242081496554
image_0251.jpg,227528000000,11,-0.0012424039341137,-0.0062078887560961,2.008762636682249,-0.5265781452209857,-2.6198628331300857,-2.087064271767451,0.0,0.0,2.0,-0.5235987901687622,0.5235987901687622,1.0471975803375244,0.0021519067374083842,-179.8516943999778,-179.98135461231058,0.18165328238627082,120.33484274646426,2.0,0.010810423302011016,3.13900423257026,0.014157858062985525,2.7662065892958507
